PbGEM-ID	gene_id	pool
PbGEM-229846	PBANKA_031270	3
PbGEM-272922	PBANKA_041490	3
PbGEM-331475	PBANKA_080950	3
PbGEM-266100	PBANKA_010110	3
PbGEM-324947	PBANKA_145120	3
PbGEM-296942	PBANKA_103450	3
PbGEM-267395	PBANKA_011160	3
PbGEM-278858	PBANKA_061640	3
PbGEM-283538	PBANKA_080640	3
PbGEM-336259	PBANKA_120740	3
PbGEM-339451	PBANKA_140440	3
PbGEM-321755	PBANKA_142710	3
PbGEM-304938	PBANKA_121060	3
PbGEM-235725	PBANKA_071470	3
PbGEM-264468	PBANKA_134600	3
PbGEM-340051	PBANKA_142930	3
PbGEM-339507	PBANKA_140660	3
PbGEM-338419	PBANKA_133690	3
PbGEM-318427	PBANKA_140040	3
PbGEM-336235	PBANKA_120680	3
PbGEM-282042	PBANKA_071630	3
PbGEM-320835	PBANKA_141850	3
PbGEM-343476	PBANKA_070210	3
PbGEM-341884	PBANKA_041680	3
PbGEM-342764	PBANKA_114340	3
PbGEM-277394	PBANKA_060510	3
PbGEM-287658	PBANKA_090600	3
PbGEM-297821	PBANKA_110100	3
PbGEM-304618	PBANKA_120790	3
PbGEM-298837	PBANKA_110880	3
PbGEM-309433	PBANKA_124430	3
PbGEM-273930	PBANKA_050370	3
PbGEM-298253	PBANKA_110390	3
PbGEM-287402	PBANKA_090370	3
PbGEM-287482	PBANKA_090460	3
PbGEM-271730	PBANKA_040500	3
PbGEM-283466	PBANKA_080550	3
PbGEM-293520	PBANKA_100690	3
PbGEM-288090	PBANKA_090880	3
PbGEM-268307	PBANKA_020730	3
PbGEM-330811	PBANKA_071100	3
PbGEM-288138	PBANKA_090940	3
PbGEM-270930	PBANKA_031320	3
PbGEM-311597	PBANKA_131260	3
PbGEM-275826	PBANKA_051810	3
PbGEM-339827	PBANKA_141860	3
PbGEM-279194	PBANKA_061840	3
PbGEM-289537	PBANKA_092020	3
PbGEM-279674	PBANKA_062200	3
PbGEM-285418	PBANKA_082440	3
PbGEM-331819	PBANKA_082460	3
PbGEM-295742	PBANKA_102480	3
PbGEM-291376	PBANKA_093470	3
PbGEM-286394	PBANKA_083280	3
PbGEM-286338	PBANKA_083240	3
PbGEM-333131	PBANKA_093750	3
PbGEM-303314	PBANKA_114480	3
PbGEM-283874	PBANKA_080940	3
PbGEM-343244	PBANKA_141020	3
PbGEM-319803	PBANKA_140960	3
PbGEM-331899	PBANKA_082850	3
PbGEM-328115	PBANKA_020990	3
PbGEM-308849	PBANKA_124020	3
PbGEM-292800	PBANKA_100260	3
PbGEM-334115	PBANKA_102460	3
PbGEM-329235	PBANKA_050120	3
PbGEM-266100	PBANKA_010110	3
PbGEM-321267	PBANKA_142210	3
PbGEM-072498	PBANKA_061670	3
PbGEM-343204	PBANKA_135970	3
PbGEM-061442	PBANKA_135960	3
PbGEM-329547	PBANKA_051060	3
PbGEM-026174	PBANKA_082040	4
PbGEM-050079	PBANKA_122550	4
PbGEM-105530	PBANKA_131800	4
PbGEM-045681	PBANKA_113980	4
PbGEM-029200	PBANKA_090710	4
PbGEM-062978	PBANKA_140500	4
PbGEM-086037	PBANKA_051300	4
PbGEM-018233	PBANKA_060860	4
PbGEM-042760	PBANKA_111920	4
PbGEM-014629	PBANKA_050830	4
PbGEM-016150	PBANKA_051880	4
PbGEM-066047	PBANKA_142720	4
PbGEM-010777	PBANKA_031500	4
PbGEM-026453	PBANKA_082350	4
PbGEM-083698	PBANKA_031180	4
PbGEM-062339	PBANKA_140070	4
PbGEM-110533	PBANKA_142160	4
PbGEM-060427	PBANKA_135250	4
PbGEM-020924	PBANKA_070470	4
PbGEM-038941	PBANKA_103240	4
PbGEM-099647	PBANKA_112470	4
PbGEM-079841	PBANKA_144480	4
PbGEM-109573	PBANKA_140790	4
PbGEM-109406	PBANKA_140480	4
PbGEM-100268	PBANKA_113230	4
PbGEM-534451	PBANKA_080030	4
PbGEM-258996	PBANKA_146070	4
PbGEM-234257	PBANKA_070660	4
PbGEM-262724	PBANKA_100990	4
PbGEM-260164	PBANKA_083330	4
PbGEM-229258	PBANKA_031000	4
PbGEM-241174	PBANKA_093980	4
PbGEM-251670	PBANKA_133720	4
PbGEM-241251	PBANKA_094020	4
PbGEM-263388	PBANKA_101910	4
PbGEM-267803	PBANKA_020350	4
PbGEM-266515	PBANKA_010430	4
PbGEM-244771	PBANKA_111620	4
PbGEM-242008	PBANKA_092900	4
PbGEM-300411	PBANKA_112140	4
PbGEM-286362	PBANKA_083250	4
PbGEM-227009	PBANKA_021230	4
PbGEM-331075	PBANKA_072070	4
PbGEM-332011	PBANKA_083210	4
PbGEM-332211	PBANKA_090180	4
PbGEM-267115	PBANKA_010940	4
PbGEM-320083	PBANKA_141230	4
PbGEM-328363	PBANKA_030140	4
PbGEM-333755	PBANKA_101210	4
PbGEM-253428	PBANKA_134230	4
PbGEM-335547	PBANKA_112920	4
PbGEM-340435	PBANKA_144170	4
PbGEM-315755	PBANKA_134420	4
PbGEM-332523	PBANKA_091240	4
PbGEM-283042	PBANKA_080250	4
PbGEM-323355	PBANKA_143910	4
PbGEM-298629	PBANKA_110700	4
PbGEM-236306	PBANKA_080600	4
PbGEM-340307	PBANKA_143750	4
PbGEM-337923	PBANKA_131970	4
PbGEM-275466	PBANKA_051530	4
PbGEM-336643	PBANKA_121960	4
PbGEM-286154	PBANKA_083110	4
PbGEM-333587	PBANKA_100760	4
PbGEM-329227	PBANKA_050100	4
PbGEM-336675	PBANKA_122090	4
PbGEM-337419	PBANKA_130230	4
PbGEM-304306	PBANKA_120540	4
PbGEM-268731	PBANKA_021010	4
PbGEM-334091	PBANKA_102390	4
